Source Page,Source URL,Target Page,Target URL,Anchor Text,Link Context,Link Type,Priority
Mobile Spa Day,/services/mobile-spa-day-package,Seminyak,/seminyak,Seminyak,Beach villa area,Service Area,Low
Mobile Spa Day,/services/mobile-spa-day-package,Services,/services,all services,Full menu,Navigation,Low
Post-Hike Recovery,/services/post-hike-recovery,Sports Massage,/services/sports-massage,sports massage,General athletic recovery,Related Service,High
Post-Hike Recovery,/services/post-hike-recovery,Post-Yoga Recovery,/services/post-yoga-recovery,post-yoga recovery,Similar athletic focus,Related Service,Medium
Post-Hike Recovery,/services/post-hike-recovery,Therapeutic Massage,/services/therapeutic-massage,therapeutic massage,Healing approach,Related Service,Medium
Post-Hike Recovery,/services/post-hike-recovery,Deep Tissue Massage,/treatments/deep-tissue-massage,deep tissue,Technique details,Treatment Info,Medium
Post-Hike Recovery,/services/post-hike-recovery,Ubud Centre,/ubud-centre,Ubud centre,Near trekking departure points,Service Area,High
Post-Hike Recovery,/services/post-hike-recovery,Services,/services,all services,Complete offerings,Navigation,Low
Pregnancy Massage,/services/pregnancy-massage,Postnatal Massage,/services/postnatal-massage,postnatal massage,After birth recovery,Related Service,High
Pregnancy Massage,/services/pregnancy-massage,Prenatal Treatment,/ubud/pregnancy-massage,prenatal treatment,Main prenatal page,Related Service,High
Pregnancy Massage,/services/pregnancy-massage,Therapeutic Massage,/services/therapeutic-massage,therapeutic massage,Gentle approach,Related Service,Medium
Pregnancy Massage,/services/pregnancy-massage,Foot Reflexology,/treatments/foot-reflexology,reflexology,Pregnancy-safe option,Treatment Info,Medium
Pregnancy Massage,/services/pregnancy-massage,Ubud Centre,/ubud-centre,Ubud centre,Near BIMC Hospital,Service Area,Medium
Pregnancy Massage,/services/pregnancy-massage,Sanur,/sanur,Sanur,Family-friendly area,Service Area,Low
Pregnancy Massage,/services/pregnancy-massage,Services,/services,all services,Full menu,Navigation,Low
Homepage,/,Couples Villa Massage,/services/couples-villa-massage,romantic couples massage,Perfect for honeymooners,New Service,High
Homepage,/,Honeymoon Spa,/services/honeymoon-spa,honeymoon spa packages,Multi-day programs,New Service,High
Homepage,/,Group Spa Day,/services/group-spa-day,group spa experiences,Retreats and celebrations,New Service,Medium
Homepage,/,Luxury Villa Wellness,/services/luxury-villa-wellness,luxury villa wellness,VIP service,New Service,Medium
Services Page,/services,Couples Villa Massage,/services/couples-villa-massage,Couples Villa Massage,Romantic in-room experience,New Service,High
Services Page,/services,Honeymoon Spa,/services/honeymoon-spa,Honeymoon Spa Package,Multi-day couples wellness,New Service,High
Services Page,/services,Post-Yoga Recovery,/services/post-yoga-recovery,Post-Yoga Recovery Massage,For yoga practitioners,New Service,Medium
Services Page,/services,Group Spa Day,/services/group-spa-day,Group Spa Day Package,4-10 people simultaneously,New Service,Medium
Services Page,/services,Detox Wellness,/services/detox-wellness-massage,Detox Wellness Massage,Lymphatic drainage programs,New Service,Medium
Services Page,/services,Luxury Villa Wellness,/services/luxury-villa-wellness,Luxury Villa Wellness,VIP premium service,New Service,Medium
Services Page,/services,Mobile Spa Day,/services/mobile-spa-day-package,Mobile Spa Day Package,Complete spa transformation,New Service,Low
Services Page,/services,Post-Hike Recovery,/services/post-hike-recovery,Post-Hike Recovery,Mount Batur/Agung relief,New Service,Low
Services Page,/services,Pregnancy Massage,/services/pregnancy-massage,Pregnancy Massage,Certified prenatal care,New Service,Low
Uluwatu Area,/uluwatu,Uluwatu Surf Massage,/uluwatu/surf-recovery-massage,surf recovery massage,Post-session therapy,New Service,High
Ubud Centre,/ubud-centre,Post-Yoga Recovery,/services/post-yoga-recovery,post-yoga recovery,Near major studios,New Service,High
Ubud Centre,/ubud-centre,Post-Hike Recovery,/services/post-hike-recovery,post-hike recovery,Batur/Agung trekkers,New Service,High
Canggu Area,/canggu,Uluwatu Surf Massage,/uluwatu/surf-recovery-massage,surf recovery,Also for Canggu surfers,Cross-Area,Medium
Canggu Area,/canggu,Group Spa Day,/services/group-spa-day,group spa day,Group accommodations,New Service,Low
Seminyak Area,/seminyak,Couples Villa Massage,/services/couples-villa-massage,couples villa massage,Romantic service,New Service,High
Seminyak Area,/seminyak,Honeymoon Spa,/services/honeymoon-spa,honeymoon spa,Beach honeymoon hotspot,New Service,High
Blog/Content,/blog,Post-Yoga Recovery,/services/post-yoga-recovery,post-yoga recovery massage,Yoga wellness content,Content Link,Low
Blog/Content,/blog,Post-Hike Recovery,/services/post-hike-recovery,post-hike recovery massage,Hiking in Bali content,Content Link,Low
Blog/Content,/blog,Detox Wellness,/services/detox-wellness-massage,detox wellness massage,Wellness retreat content,Content Link,Low
